Date,SPY,IWM,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF,SHY,TLT
2015-01-28,169.7778778076172,103.10662078857422,51.1279296875,35.97416305541992,35.519107818603516,39.19140625,37.94050216674805,62.70568084716797,46.125831604003906,60.00168991088867,15.745100975036621,74.6944351196289,109.24544525146484
2015-01-29,171.34718322753906,104.52922821044922,51.29916763305664,36.45371627807617,35.85637664794922,39.7055549621582,38.245521545410156,63.55900192260742,46.65571594238281,60.50901794433594,15.87404727935791,74.66803741455078,108.52652740478516
2015-01-30,169.19253540039062,102.23185729980469,51.74433898925781,35.64954376220703,35.412601470947266,39.547996520996094,37.5572509765625,62.86734390258789,45.89874267578125,59.56316375732422,15.616154670715332,74.75596618652344,110.45154571533203
2015-02-02,171.287841796875,103.1684799194336,53.32646179199219,35.804473876953125,35.77649688720703,39.90459060668945,38.0030632019043,63.4332389831543,46.58003616333008,59.89850997924805,15.867264747619629,74.73221588134766,110.0345230102539
2015-02-03,173.76483154296875,105.01517486572266,54.78531265258789,35.93726348876953,36.18476486206055,40.78361129760742,38.33937072753906,64.78060913085938,47.33701705932617,60.30263900756836,16.131940841674805,74.67060089111328,107.70551300048828
2015-02-04,173.10317993164062,104.62635803222656,53.881229400634766,35.50197982788086,36.25577163696289,40.51823806762695,38.35501480102539,65.21173858642578,46.97534942626953,59.545963287353516,16.09122657775879,74.67945861816406,107.88961029052734
2015-02-05,174.85064697265625,105.97831726074219,54.65517807006836,35.82661056518555,36.59302520751953,41.49677276611328,38.55054473876953,65.61593627929688,47.37907791137695,60.55199432373047,16.254108428955078,74.65303039550781,106.70504760742188
2015-02-06,174.36712646484375,105.8634262084961,54.668888092041016,34.35105514526367,36.4776496887207,41.39725875854492,38.37849044799805,65.51717376708984,47.26972198486328,60.00168991088867,16.383052825927734,74.47704315185547,104.8161849975586
2015-02-09,173.58668518066406,105.02403259277344,54.723663330078125,34.04856491088867,36.42440414428711,41.347511291503906,38.0890998840332,65.26564025878906,47.143558502197266,59.29659652709961,16.301610946655273,74.46823120117188,104.64804077148438
2015-02-10,175.43597412109375,105.69554138183594,54.69627380371094,34.74944305419922,36.96578598022461,41.65434646606445,38.53490447998047,66.0650634765625,47.404296875,60.29403305053711,16.430561065673828,74.45059967041016,103.81572723388672
